,precision,recall,f1-score,support,train_accuracy,test_accuracy,overall_accuracy,f1_score,roc_auc
fake,0.8827160493827161,0.8932936901222333,0.8880131362889984,3027.0,0.9839694000343819,0.8827574351040055,0.9637270070483067,0.8769841269841271,0.9422799345910698
real,0.8827160493827161,0.871326164874552,0.8769841269841271,2790.0,0.9839694000343819,0.8827574351040055,0.9637270070483067,0.8769841269841271,0.9422799345910698
accuracy,0.8827160493827161,0.8827574351040055,0.8827574351040055,0.8827574351040055,0.9839694000343819,0.8827574351040055,0.9637270070483067,0.8769841269841271,0.9422799345910698
macro avg,0.8827160493827161,0.8823099274983925,0.8824986316365627,5817.0,0.9839694000343819,0.8827574351040055,0.9637270070483067,0.8769841269841271,0.9422799345910698
weighted avg,0.8827160493827161,0.8827574351040055,0.8827233071742329,5817.0,0.9839694000343819,0.8827574351040055,0.9637270070483067,0.8769841269841271,0.9422799345910698
